Scenario - for study									
Logfile written - 2016/1/12 20:00:56									
									
Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
508	Response	2	7238673	7699	2				
509	Picture	B2D025	7248642	1166	1	8000	172	1000	8000
510	Response	1	7259908	3094	1				
511	Picture	ND065	7274478	1000	171	8168	172	1000	8000
512	Response	2	7282879	232	1				
513	Picture	AD055	7302982	1165	2	8000	174	1000	8000
514	Response	2	7313724	2407	1				
515	Picture	NT035	7331994	1000	163	8160	164	1000	8000
516	Response	3	7341214	1059	1				
516	Response	1	7345218	5063	1				
517	Picture	AT035	7360657	1166	1	8000	172	1000	8000
518	Response	3	7369806	815	1				
518	Response	1	7373896	4905	1				
519	Picture	ND075	7389827	1000	171	8168	172	1000	8000
520	Response	1	7400052	2056	1				
521	Quit		7511172	96507					
